nombre,descripcion,tiempo_preparacion,dificultad,categoria,preparacion,ingredientes,variaciones
Lasaña de Verduras,Capas de pasta con vegetales asados y salsa blanca,75,Alta,Pasta,"Cortar las verduras en láminas finas y asarlas con aceite de oliva.|Preparar la salsa blanca con manteca, harina y leche.|Armar capas alternando pasta, verduras y salsa.|Terminar con queso rallado por encima.|Hornear 40 minutos a 180 grados y dejar reposar antes de cortar.","Pasta Seca:250|Zucchini:300|Berenjena:300|Manteca:50|Harina:50|Leche:500|Queso Parmesano:80|Aceite de Oliva:30|Sal:5","Versión con carne: intercalar una capa de salsa bolognesa.|Versión sin lactosa: hacer la salsa blanca con bebida de almendras.|Versión exprés: usar pasta precocida y saltear las verduras en vez de asarlas."
Ñoquis de Papa,Ñoquis caseros de papa con salsa a elección,60,Media,Pasta,"Hervir las papas con cáscara hasta que estén tiernas.|Pisarlas en caliente y dejar entibiar.|Integrar la harina y el huevo sin amasar de más.|Formar cilindros y cortar los ñoquis.|Hervirlos hasta que suban a la superficie y servir con la salsa elegida.","Papa:800|Harina:250|Huevo:1|Sal:5","Versión a la romana: hacerlos con sémola en lugar de papa.|Versión de calabaza: reemplazar la mitad de la papa por calabaza asada.|Versión rellena: cerrar cada ñoqui con un cubito de mozzarella adentro."
Ravioles de Ricota,Pasta rellena de ricota y nuez moscada hecha a mano,90,Alta,Pasta,"Hacer la masa con harina y huevos. Descansar 30 minutos.|Mezclar la ricota con nuez moscada, sal y pimienta.|Estirar la masa bien fina en dos planchas.|Distribuir el relleno y cerrar presionando los bordes.|Cortar los ravioles y hervirlos 4 minutos.","Harina:400|Huevo:4|Ricota:400|Nuez Moscada:2|Sal:5|Pimienta:2","Versión de verdura: sumar espinaca salteada al relleno.|Versión de carne: rellenar con carne braseada desmenuzada.|Versión rápida: usar tapas de empanada finas como masa."
Fettuccine Alfredo,Pasta larga con crema y queso parmesano,30,Baja,Pasta,"Hervir la pasta en abundante agua con sal.|Derretir la manteca en una sartén amplia.|Sumar la crema y calentar sin que llegue a hervir.|Incorporar el parmesano hasta fundirlo del todo.|Mezclar con la pasta y servir enseguida.","Pasta Seca:300|Manteca:80|Crema:200|Queso Parmesano:100|Sal:5|Pimienta:2","Versión con pollo: sumar tiras de pechuga grillada.|Versión liviana: reemplazar la crema por leche espesada con una cucharadita de harina.|Versión con hongos: saltear champiñones y sumarlos a la salsa."
Milanesa Napolitana,Milanesa de ternera con jamón salsa y queso gratinado,45,Media,Carnes,"Condimentar las milanesas con sal y pimienta.|Pasarlas por huevo batido y después por pan rallado.|Freírlas hasta que estén doradas de ambos lados.|Cubrirlas con salsa de tomate, jamón y queso.|Gratinar en el horno hasta que el queso se funda.","Carne de Ternera:600|Huevo:2|Pan Rallado:200|Tomate:200|Jamón:100|Queso Mozzarella:150|Sal:5|Pimienta:2","Versión al horno: hornear 20 minutos a 200 grados en vez de freír.|Versión de pollo: usar pechuga fileteada en lugar de ternera.|Versión vegetariana: reemplazar la carne por rodajas gruesas de berenjena."
Bife de Chorizo al Malbec,Bife sellado con reducción de vino tinto,45,Media,Carnes,"Sacar la carne de la heladera 20 minutos antes de cocinarla.|Sellar los bifes a fuego fuerte de ambos lados.|Retirarlos y reservarlos tapados.|Desglasar la sartén con el vino tinto y reducir a la mitad.|Napar los bifes con la reducción y servir.","Bife de Chorizo:700|Vino Tinto:250|Manteca:30|Sal:5|Pimienta:3","Versión a la parrilla: sellar los bifes sobre brasas y hacer la reducción aparte.|Versión con hongos: sumar champiñones a la reducción.|Versión sin alcohol: reemplazar el vino por caldo de carne reducido."
Pollo al Horno con Papas,Pollo entero al horno con papas y romero,60,Baja,Carnes,"Precalentar el horno a 200 grados.|Condimentar el pollo con sal, pimienta y romero.|Cortar las papas en gajos y acomodarlas alrededor.|Rociar todo con aceite de oliva.|Hornear 50 minutos dando vuelta las papas a mitad de cocción.","Pollo:1500|Papa:1000|Aceite de Oliva:50|Romero:5|Sal:10|Pimienta:3","Versión con batata: reemplazar la mitad de las papas por batata.|Versión al limón: sumar rodajas de limón dentro del pollo.|Versión en presas: usar presas y bajar la cocción a 35 minutos."
Salmón Grillado,Filete de salmón a la plancha con limón,25,Media,Carnes,"Secar los filetes con papel de cocina.|Condimentar con sal, pimienta y jugo de limón.|Calentar la plancha hasta que humee.|Cocinar 4 minutos del lado de la piel y 2 del otro.|Servir con un chorrito de aceite de oliva.","Salmón:500|Limón:1|Aceite de Oliva:20|Sal:5|Pimienta:2","Versión al horno: cocinar 12 minutos a 200 grados envuelto en papel manteca.|Versión con costra: cubrir con hierbas picadas y pan rallado antes de cocinar.|Versión con trucha: reemplazar el salmón por filetes de trucha."
Flan Casero,Flan de huevo con caramelo y dulce de leche,45,Media,Postres,"Hacer el caramelo con azúcar y un poco de agua.|Volcarlo en la flanera y dejar que endurezca.|Batir los huevos con la leche y el azúcar sin hacer espuma.|Colar la mezcla sobre el caramelo.|Cocinar a baño maría 40 minutos y enfriar antes de desmoldar.","Huevo:6|Leche:1000|Azúcar:250|Dulce de Leche:200","Versión con coco: sumar coco rallado a la mezcla.|Versión de chocolate: disolver cacao en la leche caliente.|Versión individual: repartir en moldes chicos y bajar la cocción a 25 minutos."
Brownie de Chocolate,Brownie húmedo con nueces,50,Baja,Postres,"Derretir el chocolate con la manteca a baño maría.|Batir los huevos con el azúcar hasta que blanqueen.|Integrar el chocolate y después la harina con movimientos suaves.|Sumar las nueces picadas.|Hornear 30 minutos a 180 grados: el centro tiene que quedar húmedo.","Chocolate:200|Manteca:150|Azúcar:200|Huevo:3|Harina:120|Nuez:100","Versión sin nueces: reemplazarlas por chips de chocolate.|Versión más húmeda: bajar la cocción a 22 minutos.|Versión con dulce de leche: hacer un marmolado antes de hornear."
